system,ner_type,precision,recall,f1,tp,fp,fn,gold_support,pred_support
ASR_gold_self,PERSON,1.0,1.0,1.0,122,0,0,122,122
ASR_gold_self,ORG,1.0,1.0,1.0,76,0,0,76,76
ASR_gold_self,GPE,1.0,1.0,1.0,62,0,0,62,62
ASR_gold_self,LOC,1.0,1.0,1.0,10,0,0,10,10
ASR_gold_self,NORP,1.0,1.0,1.0,57,0,0,57,57
ASR_gold_self,EVENT,1.0,1.0,1.0,44,0,0,44,44
ASR_gold_self,LAW,1.0,1.0,1.0,32,0,0,32,32
Coref,PERSON,0.7716535433070866,0.8032786885245902,0.7871485943775101,98,29,24,122,127
Coref,ORG,0.8658536585365854,0.9342105263157895,0.8987341772151899,71,11,5,76,82
Coref,GPE,0.9193548387096774,0.9193548387096774,0.9193548387096774,57,5,5,62,62
Coref,LOC,0.9090909090909091,1.0,0.9523809523809523,10,1,0,10,11
Coref,NORP,0.9272727272727272,0.8947368421052632,0.9107142857142856,51,4,6,57,55
Coref,EVENT,0.8666666666666667,0.8863636363636364,0.8764044943820225,39,6,5,44,45
Coref,LAW,0.9393939393939394,0.96875,0.9538461538461539,31,2,1,32,33
NER,PERSON,0.6929824561403509,0.6475409836065574,0.6694915254237288,79,35,43,122,114
NER,ORG,0.810126582278481,0.8421052631578947,0.8258064516129032,64,15,12,76,79
NER,GPE,0.8787878787878788,0.9354838709677419,0.90625,58,8,4,62,66
NER,LOC,0.8181818181818182,0.9,0.8571428571428572,9,2,1,10,11
NER,NORP,0.9074074074074074,0.8596491228070176,0.8828828828828829,49,5,8,57,54
NER,EVENT,0.7727272727272727,0.7727272727272727,0.7727272727272727,34,10,10,44,44
NER,LAW,0.7272727272727273,0.75,0.7384615384615384,24,9,8,32,33
Coref_NER,PERSON,0.6178861788617886,0.6229508196721312,0.6204081632653061,76,47,46,122,123
Coref_NER,ORG,0.7926829268292683,0.8552631578947368,0.8227848101265822,65,17,11,76,82
Coref_NER,GPE,0.8333333333333334,0.967741935483871,0.8955223880597015,60,12,2,62,72
Coref_NER,LOC,0.9,0.9,0.9,9,1,1,10,10
Coref_NER,NORP,0.8545454545454545,0.8245614035087719,0.8392857142857144,47,8,10,57,55
Coref_NER,EVENT,0.8095238095238095,0.7727272727272727,0.7906976744186046,34,8,10,44,42
Coref_NER,LAW,0.8285714285714286,0.90625,0.8656716417910447,29,6,3,32,35
